Khu vực,Năm,Tỷ suất sinh thô,Tỷ suất chết thô,Tỷ lệ tăng tự nhiên
Tiền Giang,2024,10.82,9.6,1.22
Trà Vinh,2019,13.4,7.4,6
Trà Vinh,2020,13.85,7.11,6.74
Trà Vinh,2021,13.5,8.8,4.7
Trà Vinh,2022,10.8,8.71,2.09
Trà Vinh,2023,11.66,6.73,4.93
Trà Vinh,2024,11.17,8.34,2.83
Tuyên Quang,2019,16.3,7.1,9.2
Tuyên Quang,2020,17.12,6.81,10.31
Tuyên Quang,2021,14.6,6.2,8.4
Tuyên Quang,2022,14.2,6.2,8
Tuyên Quang,2023,13.06,5.43,7.63
Tuyên Quang,2024,12.18,7.47,4.71
Tây Ninh,2019,11.6,7.4,4.3
Tây Ninh,2020,12.6,7.06,5.54
Tây Ninh,2021,12.3,8.5,3.72
Tây Ninh,2022,13.6,6.56,7.04
Tây Ninh,2023,10.23,6.69,3.54
Tây Ninh,2024,10.68,7.87,2.82
Vĩnh Long,2019,11.6,7.4,4.2
Vĩnh Long,2020,11.73,7.1,4.63
Vĩnh Long,2021,10.9,8.9,2.01
Vĩnh Long,2022,10.3,8.46,1.84
Vĩnh Long,2023,11.02,6.49,4.52
Vĩnh Long,2024,9.53,5.17,4.36
Vĩnh Phúc,2019,17.2,5.9,11.3
Vĩnh Phúc,2020,17.46,5.68,11.79
Vĩnh Phúc,2021,16.8,6.8,10
Vĩnh Phúc,2022,15.4,6.21,9.19
Vĩnh Phúc,2023,14.94,5.49,9.46
Vĩnh Phúc,2024,14.24,3.63,10.6
Yên Bái,2019,18.8,7,11.8
Yên Bái,2020,19.4,6.7,12.69
Yên Bái,2021,19.1,8,11.11
Yên Bái,2022,16.2,9.18,7.02
Yên Bái,2023,15.31,6.52,8.79
Yên Bái,2024,15.17,6.94,8.23
Điện Biên,2019,21,7,14
Điện Biên,2020,21.51,6.76,14.75
Điện Biên,2021,21.4,7.1,14.32
Điện Biên,2022,21.5,7.33,14.17
Điện Biên,2023,19.12,5.2,13.92
Điện Biên,2024,18.72,5.46,13.26
Đà Nẵng,2019,17.7,5,12.7
Đà Nẵng,2020,19.53,4.84,14.69
Đà Nẵng,2021,18.7,4.5,14.22
Đà Nẵng,2022,18.2,5.26,12.94
Đà Nẵng,2023,17.57,5.19,12.38
Đà Nẵng,2024,17.02,5,12.02
Đắk Lắk,2019,18.1,5.1,13.1
Đắk Lắk,2020,18.5,4.88,13.62
Đắk Lắk,2021,15.2,5.2,9.91
Đắk Lắk,2022,15.2,6.88,8.32
Đắk Lắk,2023,15.56,4.94,10.62
Đắk Lắk,2024,14.65,5.62,9.04
Đắk Nông,2019,20,4.9,15.1
Đắk Nông,2020,19.55,4.71,14.84
Đắk Nông,2021,19.4,5.4,14.04
Đắk Nông,2022,17.5,5.28,12.22
Đắk Nông,2023,17.65,5.44,12.21
Đắk Nông,2024,17.34,3.65,13.7
Đồng Nai,2019,17.1,4.8,12.3
Đồng Nai,2020,17.35,4.66,12.69
Đồng Nai,2021,18.4,6.4,12.06
Đồng Nai,2022,16.3,6.27,10.03
Đồng Nai,2023,12.95,4.16,8.79
Đồng Nai,2024,12.4,3.13,9.27
Đồng Tháp,2019,11.9,6.9,5
Đồng Tháp,2020,12.95,6.66,6.3
Đồng Tháp,2021,12.4,7.6,4.72
Đồng Tháp,2022,10.4,8.7,1.7
Đồng Tháp,2023,12.1,6.22,5.89
Đồng Tháp,2024,10.7,6.66,4.03
