Khu vực,Năm,Giới tính,Dân số
Gia Lai,2019,Nam,762
Gia Lai,2020,Nam,773
Gia Lai,2021,Nam,787
Gia Lai,2022,Nam,798
Gia Lai,2023,Nam,809
Gia Lai,2024,Nam,819
Gia Lai,2019,Nữ,758
Gia Lai,2020,Nữ,769
Gia Lai,2021,Nữ,783
Gia Lai,2022,Nữ,793
Gia Lai,2023,Nữ,805
Gia Lai,2024,Nữ,816
Ðắk Lắk,2019,Nam,944
Ðắk Lắk,2020,Nam,952
Ðắk Lắk,2021,Nam,963
Ðắk Lắk,2022,Nam,970
Ðắk Lắk,2023,Nam,976
Ðắk Lắk,2024,Nam,984
Ðắk Lắk,2019,Nữ,928
Ðắk Lắk,2020,Nữ,935
Ðắk Lắk,2021,Nữ,946
Ðắk Lắk,2022,Nữ,949
Ðắk Lắk,2023,Nữ,955
Ðắk Lắk,2024,Nữ,963
Ðắk Nông,2019,Nam,322
Ðắk Nông,2020,Nam,327
Ðắk Nông,2021,Nam,340
Ðắk Nông,2022,Nam,343
Ðắk Nông,2023,Nam,349
Ðắk Nông,2024,Nam,356
Ðắk Nông,2019,Nữ,303
Ðắk Nông,2020,Nữ,311
Ðắk Nông,2021,Nữ,324
Ðắk Nông,2022,Nữ,327
Ðắk Nông,2023,Nữ,333
Ðắk Nông,2024,Nữ,340
Lâm Ðồng,2019,Nam,654
Lâm Ðồng,2020,Nam,660
Lâm Ðồng,2021,Nam,666
Lâm Ðồng,2022,Nam,672
Lâm Ðồng,2023,Nam,677
Lâm Ðồng,2024,Nam,686
Lâm Ðồng,2019,Nữ,645
Lâm Ðồng,2020,Nữ,650
Lâm Ðồng,2021,Nữ,656
Lâm Ðồng,2022,Nữ,661
Lâm Ðồng,2023,Nữ,668
Lâm Ðồng,2024,Nữ,677
Bình Phước,2019,Nam,503
Bình Phước,2020,Nam,510
Bình Phước,2021,Nam,516
Bình Phước,2022,Nam,522
Bình Phước,2023,Nam,527
Bình Phước,2024,Nam,535
Bình Phước,2019,Nữ,495
Bình Phước,2020,Nữ,501
Bình Phước,2021,Nữ,508
Bình Phước,2022,Nữ,513
Bình Phước,2023,Nữ,519
Bình Phước,2024,Nữ,528
Tây Ninh,2019,Nam,586
Tây Ninh,2020,Nam,590
Tây Ninh,2021,Nam,591
Tây Ninh,2022,Nam,596
Tây Ninh,2023,Nam,599
Tây Ninh,2024,Nam,602
Tây Ninh,2019,Nữ,586
Tây Ninh,2020,Nữ,589
Tây Ninh,2021,Nữ,591
Tây Ninh,2022,Nữ,593
Tây Ninh,2023,Nữ,596
Tây Ninh,2024,Nữ,600
Bình Dương,2019,Nam,1236
Bình Dương,2020,Nam,1322
Bình Dương,2021,Nam,1309
Bình Dương,2022,Nam,1396
Bình Dương,2023,Nam,1466
Bình Dương,2024,Nam,1491
Bình Dương,2019,Nữ,1220
Bình Dương,2020,Nữ,1259
Bình Dương,2021,Nữ,1288
Bình Dương,2022,Nữ,1368
Bình Dương,2023,Nữ,1357
Bình Dương,2024,Nữ,1380
Ðồng Nai,2019,Nam,1562
Ðồng Nai,2020,Nam,1613
Ðồng Nai,2021,Nam,1609
Ðồng Nai,2022,Nam,1622
Ðồng Nai,2023,Nam,1650
Ðồng Nai,2024,Nam,1694
Ðồng Nai,2019,Nữ,1552
Ðồng Nai,2020,Nữ,1564
Ðồng Nai,2021,Nữ,1560
Ðồng Nai,2022,Nữ,1634
Ðồng Nai,2023,Nữ,1661
Ðồng Nai,2024,Nữ,1671
Bà Rịa - Vũng Tàu,2019,Nam,578
Bà Rịa - Vũng Tàu,2020,Nam,579
Bà Rịa - Vũng Tàu,2021,Nam,583
Bà Rịa - Vũng Tàu,2022,Nam,588
Bà Rịa - Vũng Tàu,2023,Nam,592
Bà Rịa - Vũng Tàu,2024,Nam,596
Bà Rịa - Vũng Tàu,2019,Nữ,574
Bà Rịa - Vũng Tàu,2020,Nữ,589
Bà Rịa - Vũng Tàu,2021,Nữ,593
Bà Rịa - Vũng Tàu,2022,Nữ,591
Bà Rịa - Vũng Tàu,2023,Nữ,595
Bà Rịa - Vũng Tàu,2024,Nữ,599
TP.Hồ Chí Minh,2019,Nam,4405
TP.Hồ Chí Minh,2020,Nam,4525
TP.Hồ Chí Minh,2021,Nam,4510
TP.Hồ Chí Minh,2022,Nam,4576
TP.Hồ Chí Minh,2023,Nam,4584
TP.Hồ Chí Minh,2024,Nam,4627
TP.Hồ Chí Minh,2019,Nữ,4633
TP.Hồ Chí Minh,2020,Nữ,4702
TP.Hồ Chí Minh,2021,Nữ,4656
TP.Hồ Chí Minh,2022,Nữ,4813
TP.Hồ Chí Minh,2023,Nữ,4872
TP.Hồ Chí Minh,2024,Nữ,4917
Long An,2019,Nam,846
Long An,2020,Nam,855
Long An,2021,Nam,862
Long An,2022,Nam,866
Long An,2023,Nam,871
Long An,2024,Nam,877
Long An,2019,Nữ,850
Long An,2020,Nữ,858
Long An,2021,Nữ,864
Long An,2022,Nữ,868
Long An,2023,Nữ,873
Long An,2024,Nữ,879
Tiền Giang,2019,Nam,867
Tiền Giang,2020,Nam,869
Tiền Giang,2021,Nam,872
Tiền Giang,2022,Nam,879
Tiền Giang,2023,Nam,882
Tiền Giang,2024,Nam,884
Tiền Giang,2019,Nữ,899
Tiền Giang,2020,Nữ,904
Tiền Giang,2021,Nữ,907
Tiền Giang,2022,Nữ,906
Tiền Giang,2023,Nữ,909
Tiền Giang,2024,Nữ,912
Bến Tre,2019,Nam,631
Bến Tre,2020,Nam,633
Bến Tre,2021,Nam,635
Bến Tre,2022,Nam,640
Bến Tre,2023,Nam,641
Bến Tre,2024,Nam,645
Bến Tre,2019,Nữ,658
Bến Tre,2020,Nữ,659
Bến Tre,2021,Nữ,661
Bến Tre,2022,Nữ,658
Bến Tre,2023,Nữ,658
Bến Tre,2024,Nữ,662
Trà Vinh,2019,Nam,497
Trà Vinh,2020,Nam,497
Trà Vinh,2021,Nam,501
Trà Vinh,2022,Nam,503
Trà Vinh,2023,Nam,504
Trà Vinh,2024,Nam,506
Trà Vinh,2019,Nữ,512
Trà Vinh,2020,Nữ,513
Trà Vinh,2021,Nữ,517
Trà Vinh,2022,Nữ,516
Trà Vinh,2023,Nữ,516
Trà Vinh,2024,Nữ,518
Vĩnh Long,2019,Nam,504
Vĩnh Long,2020,Nam,504
Vĩnh Long,2021,Nam,507
Vĩnh Long,2022,Nam,509
Vĩnh Long,2023,Nam,509
Vĩnh Long,2024,Nam,513
Vĩnh Long,2019,Nữ,519
Vĩnh Long,2020,Nữ,519
Vĩnh Long,2021,Nữ,522
Vĩnh Long,2022,Nữ,520
Vĩnh Long,2023,Nữ,520
Vĩnh Long,2024,Nữ,524
Ðồng Tháp,2019,Nam,799
Ðồng Tháp,2020,Nam,799
Ðồng Tháp,2021,Nam,800
Ðồng Tháp,2022,Nam,800
Ðồng Tháp,2023,Nam,801
Ðồng Tháp,2024,Nam,801
Ðồng Tháp,2019,Nữ,800
Ðồng Tháp,2020,Nữ,801
Ðồng Tháp,2021,Nữ,801
Ðồng Tháp,2022,Nữ,800
Ðồng Tháp,2023,Nữ,799
Ðồng Tháp,2024,Nữ,800
An Giang,2019,Nam,947
An Giang,2020,Nam,946
An Giang,2021,Nam,948
An Giang,2022,Nam,946
An Giang,2023,Nam,947
An Giang,2024,Nam,950
An Giang,2019,Nữ,960
An Giang,2020,Nữ,959
An Giang,2021,Nữ,961
An Giang,2022,Nữ,959
An Giang,2023,Nữ,960
An Giang,2024,Nữ,963
Kiên Giang,2019,Nam,874
Kiên Giang,2020,Nam,877
Kiên Giang,2021,Nam,889
Kiên Giang,2022,Nam,896
Kiên Giang,2023,Nam,898
Kiên Giang,2024,Nam,904
Kiên Giang,2019,Nữ,850
Kiên Giang,2020,Nữ,852
Kiên Giang,2021,Nữ,863
Kiên Giang,2022,Nữ,855
Kiên Giang,2023,Nữ,857
Kiên Giang,2024,Nữ,863
Cần Thơ,2019,Nam,613
Cần Thơ,2020,Nam,616
Cần Thơ,2021,Nam,619
Cần Thơ,2022,Nam,622
Cần Thơ,2023,Nam,625
Cần Thơ,2024,Nam,631
Cần Thơ,2019,Nữ,623
Cần Thơ,2020,Nữ,625
Cần Thơ,2021,Nữ,628
Cần Thơ,2022,Nữ,631
Cần Thơ,2023,Nữ,634
Cần Thơ,2024,Nữ,640
Hậu Giang,2019,Nam,366
Hậu Giang,2020,Nam,367
Hậu Giang,2021,Nam,367
Hậu Giang,2022,Nam,369
Hậu Giang,2023,Nam,369
Hậu Giang,2024,Nam,370
Hậu Giang,2019,Nữ,366
Hậu Giang,2020,Nữ,362
Hậu Giang,2021,Nữ,362
Hậu Giang,2022,Nữ,360
Hậu Giang,2023,Nữ,360
Hậu Giang,2024,Nữ,360
Sóc Trăng,2019,Nam,598
Sóc Trăng,2020,Nam,596
Sóc Trăng,2021,Nam,601
Sóc Trăng,2022,Nam,606
Sóc Trăng,2023,Nam,607
Sóc Trăng,2024,Nam,610
Sóc Trăng,2019,Nữ,602
Sóc Trăng,2020,Nữ,600
Sóc Trăng,2021,Nữ,605
Sóc Trăng,2022,Nữ,591
Sóc Trăng,2023,Nữ,592
Sóc Trăng,2024,Nữ,595
Bạc Liêu,2019,Nam,455
Bạc Liêu,2020,Nam,457
Bạc Liêu,2021,Nam,459
Bạc Liêu,2022,Nam,462
Bạc Liêu,2023,Nam,464
Bạc Liêu,2024,Nam,466
Bạc Liêu,2019,Nữ,454
Bạc Liêu,2020,Nữ,456
Bạc Liêu,2021,Nữ,459
Bạc Liêu,2022,Nữ,460
Bạc Liêu,2023,Nữ,461
Bạc Liêu,2024,Nữ,463
Cà Mau,2019,Nam,605
Cà Mau,2020,Nam,605
Cà Mau,2021,Nam,612
Cà Mau,2022,Nam,617
Cà Mau,2023,Nam,617
Cà Mau,2024,Nam,620
Cà Mau,2019,Nữ,589
Cà Mau,2020,Nữ,589
Cà Mau,2021,Nữ,596
Cà Mau,2022,Nữ,590
Cà Mau,2023,Nữ,590
Cà Mau,2024,Nữ,592
