Khu vực,Năm,Loại khu vực,Dân số
Bình Dương,2024,Nông thôn,406
Ðồng Nai,2019,Thành thị,1372
Ðồng Nai,2020,Thành thị,1407
Ðồng Nai,2021,Thành thị,1419
Ðồng Nai,2022,Thành thị,1470
Ðồng Nai,2023,Thành thị,1498
Ðồng Nai,2024,Thành thị,1527
Ðồng Nai,2019,Nông thôn,1742
Ðồng Nai,2020,Nông thôn,1771
Ðồng Nai,2021,Nông thôn,1750
Ðồng Nai,2022,Nông thôn,1786
Ðồng Nai,2023,Nông thôn,1812
Ðồng Nai,2024,Nông thôn,1839
Bà Rịa - Vũng Tàu,2019,Thành thị,676
Bà Rịa - Vũng Tàu,2020,Thành thị,672
Bà Rịa - Vũng Tàu,2021,Thành thị,687
Bà Rịa - Vũng Tàu,2022,Thành thị,712
Bà Rịa - Vũng Tàu,2023,Thành thị,723
Bà Rịa - Vũng Tàu,2024,Thành thị,742
Bà Rịa - Vũng Tàu,2019,Nông thôn,477
Bà Rịa - Vũng Tàu,2020,Nông thôn,496
Bà Rịa - Vũng Tàu,2021,Nông thôn,489
Bà Rịa - Vũng Tàu,2022,Nông thôn,467
Bà Rịa - Vũng Tàu,2023,Nông thôn,464
Bà Rịa - Vũng Tàu,2024,Nông thôn,453
TP.Hồ Chí Minh,2019,Thành thị,7162
TP.Hồ Chí Minh,2020,Thành thị,7291
TP.Hồ Chí Minh,2021,Thành thị,7240
TP.Hồ Chí Minh,2022,Thành thị,7298
TP.Hồ Chí Minh,2023,Thành thị,7344
TP.Hồ Chí Minh,2024,Thành thị,7429
TP.Hồ Chí Minh,2019,Nông thôn,1877
TP.Hồ Chí Minh,2020,Nông thôn,1937
TP.Hồ Chí Minh,2021,Nông thôn,1927
TP.Hồ Chí Minh,2022,Nông thôn,2092
TP.Hồ Chí Minh,2023,Nông thôn,2113
TP.Hồ Chí Minh,2024,Nông thôn,2115
Long An,2019,Thành thị,272
Long An,2020,Thành thị,313
Long An,2021,Thành thị,316
Long An,2022,Thành thị,319
Long An,2023,Thành thị,321
Long An,2024,Thành thị,327
Long An,2019,Nông thôn,1423
Long An,2020,Nông thôn,1401
Long An,2021,Nông thôn,1409
Long An,2022,Nông thôn,1416
Long An,2023,Nông thôn,1423
Long An,2024,Nông thôn,1429
Tiền Giang,2019,Thành thị,247
Tiền Giang,2020,Thành thị,252
Tiền Giang,2021,Thành thị,254
Tiền Giang,2022,Thành thị,272
Tiền Giang,2023,Thành thị,274
Tiền Giang,2024,Thành thị,303
Tiền Giang,2019,Nông thôn,1519
Tiền Giang,2020,Nông thôn,1521
Tiền Giang,2021,Nông thôn,1526
Tiền Giang,2022,Nông thôn,1513
Tiền Giang,2023,Nông thôn,1517
Tiền Giang,2024,Nông thôn,1494
Bến Tre,2019,Thành thị,126
Bến Tre,2020,Thành thị,127
Bến Tre,2021,Thành thị,128
Bến Tre,2022,Thành thị,133
Bến Tre,2023,Thành thị,170
Bến Tre,2024,Thành thị,175
Bến Tre,2019,Nông thôn,1163
Bến Tre,2020,Nông thôn,1166
Bến Tre,2021,Nông thôn,1167
Bến Tre,2022,Nông thôn,1165
Bến Tre,2023,Nông thôn,1129
Bến Tre,2024,Nông thôn,1132
Trà Vinh,2019,Thành thị,174
Trà Vinh,2020,Thành thị,176
Trà Vinh,2021,Thành thị,178
Trà Vinh,2022,Thành thị,185
Trà Vinh,2023,Thành thị,187
Trà Vinh,2024,Thành thị,189
Trà Vinh,2019,Nông thôn,835
Trà Vinh,2020,Nông thôn,834
Trà Vinh,2021,Nông thôn,840
Trà Vinh,2022,Nông thôn,834
Trà Vinh,2023,Nông thôn,833
Trà Vinh,2024,Nông thôn,835
Vĩnh Long,2019,Thành thị,170
Vĩnh Long,2020,Thành thị,232
